model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Chất liệu thân vỏ,Tiện ích,Cao,Ngang,Sâu,Khối lượng máy,Công suất đầu ra,Độ ồn,Số lượng,Dòng sản phẩm,Loại sản phẩm,Bảng điều khiển,Công nghệ,Công nghệ sấy,Chương trình,Dài ống cấp nước,Dài ống xả nước,Tiêu thụ nước,Chất liệu cửa,Khay chén,giá gốc,giá khuyến mãi,khuyến mãi quà
179868,1753859000005,328647,39,366,Junger,Thái Lan,Thép,"Chống rò rỉ nước | Khoá an toàn trẻ em | Khử trùng bằng tia UV - Junger UV Virus Killer Tech | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Cảm biến độ bẩn của nước - Junger Super AI Cleaning | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Hẹn giờ bắt đầu rửa | Bộ lọc bằng vật liệu PP+30%T+AISI304 kháng khuẩn | Tự ngắt khi áp lực nước đầu vào yếu | Tự động căn chỉnh thời gian/lượng nước | Màn hình LED hiển thị dễ quan sát | Chức năng bảo vệ quá tải - quá áp | Khử mùi bằng gió tươi đối lưu Fresh Air | Chức năng sấy khô chuyên sâu | Tự kích hoạt lại chương trình khi có điện",45,55,50,23,1480W - 1760W,47 dB,2 - 3 bữa ăn Việt (8 bộ Châu Âu),2023,Máy rửa chén mini,Màn hình hiển thị | Cảm ứng | Biểu tượng chương trình hoạt động,Tiệt trùng bằng tia UV - Junger UV Virus Killer Tech | Công nghệ rửa khử khuẩn 75°C,Junger Super Dry Tech,Rửa chuyên sâu | Rửa tự động AI | Rửa tráng | Rửa tiết kiệm ECO | Rửa khử khuẩn | Rửa hàng ngày | Tự làm sạch | Rửa nhanh,150,160,~ 8 lít/lần rửa,Inox 304 phun sơn,"Khay dưới | Giỏ đựng dao, muỗng, đũa",13890000,13890000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179867,1753859000004,328612,39,313,Hitachi,Thổ Nhĩ Kỳ,Mặt kính,Chống rò rỉ nước | Khoá trẻ em | Hẹn giờ bắt đầu rửa | Chỉ báo mức muối làm mềm nước | Làm bóng bằng hơi nước | Ngăn gấp giỏ ở trên | Chỉ báo chất trợ xả | Ngăn gấp giỏ ở dưới | Rửa bán tải Half load,85,59,60,55,1800W - 2100W,43 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Intense Wash - rửa chuyên sâu bằng nước nóng | Surround Wash - làm sạch đa hướng | Rửa đáy chuyên sâu (Turbowash),Sấy hé tự động | Sấy tăng cường,Rửa chuyên sâu | Rửa đồ thủy tinh | Mini | Rửa tráng | Rửa tiết kiệm ECO | Rửa hỗn hợp | Rửa tự động | Rửa nhanh,150,180,~ 9.5 lít/lần rửa,Mặt kính,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,19690000,12490000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179866,1753859000003,328611,39,313,Hitachi,Thổ Nhĩ Kỳ,Thép không gỉ,Chống rò rỉ nước | Khoá trẻ em | Hẹn giờ bắt đầu rửa | Chỉ báo mức muối làm mềm nước | Làm bóng bằng hơi nước | Ngăn gấp giỏ ở trên | Chỉ báo chất trợ xả | Ngăn gấp giỏ ở dưới | Rửa bán tải Half load,85,59,60,46,1800W - 2100W,44 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Rửa đáy chuyên sâu (Turbowash) | Rửa bằng nước nóng,Sấy tăng cường,Rửa chuyên sâu | Rửa đồ thủy tinh | Mini | Rửa tiết kiệm ECO | Rửa tự động | Rửa nhanh,150,180,~ 9.5 lít/lần rửa,Thép không gỉ,"Khay trên có thể thay đổi chiều cao | Khay dưới | Giỏ đựng dao, muỗng, đũa",16690000,10490000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179729,3053859000127,322211,39,2,Samsung,Thái Lan,Thép sơn tĩnh điện STSS,"Khay rửa điều chỉnh độ cao linh hoạt cho từng loại chén đĩa | Tự động làm sạch máy Self Clean | Sắp xếp tiện lợi, linh hoạt chén dĩa Flex Load | Chế độ rửa nhanh Speed Booster | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Tiết kiệm điện năng với AI Energy Saving | Giá đỡ êm Soft Railing dễ dàng & an toàn | Kết nối SmartThings - Giám sát & điều khiển từ xa | Chế độ làm sạch Hygiene Plus | Rửa bán tải Half load | Động cơ Inverter rửa êm ái & tiết kiệm | Bảng điều khiển ẩn bên trong",84,59,60,53,2000W - 2300W,40 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2024,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Công nghệ rửa xoáy kép WaterJet Clean™ | Rửa bằng nước nóng,Sấy nhiệt dư,"Rửa chuyên sâu | Rửa tiêu chuẩn (tiết kiệm) | Tự động làm sạch máy | Rửa nồi & chảo (download trên SmartThings app) | Rửa đồ trẻ em (download trên SmartThings app) | Rửa sơ, tráng chén đĩa | Rửa đồ ít bẩn, dễ vỡ | Rửa siêu êm | Rửa đồ nhựa (download trên SmartThings app) | Rửa tự động | Rửa nhanh",160,180,~ 9.2 lít/lần rửa,Mặt gương cường lực satin & Thép sơn tĩnh điện STSS,Khay dao kéo | Khay dưới | Khay trên,,,"VIÊN RỬA CHÉN BÁT HƯƠNG CHANH FINISH | Nước làm bóng chén bát Finish 500ml | Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179707,3053859000123,320945,39,495,Hòa Phát,Thái Lan,Thép sơn tĩnh điện,"Khoá trẻ em | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Cảnh báo mã lỗi hoạt động khác | Hẹn giờ bắt đầu rửa | Rửa bán tải Half load",84,59,60,39,1760W - 2100W,49 dB,3 - 4 bữa ăn Việt (12 bộ Châu Âu),2023,Máy rửa chén độc lập,Nút nhấn,Hỗ trợ hòa tan viên tẩy rửa | Rửa bằng nước nóng,Sấy tăng cường,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa thường | Rửa tiết kiệm ECO | Rửa 90 phút | Rửa nhanh,140,165,~ 11 lít/lần rửa,Thép sơn tĩnh điện,Khay dưới | Khay trên,12090000,12090000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179706,3053859000124,320944,39,495,Hòa Phát,Thái Lan,Thép sơn tĩnh điện,"Khoá an toàn trẻ em | Chức năng vệ sinh máy | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Cảnh báo mã lỗi hoạt động khác | Khử khuẩn bằng tia UV | Sấy tươi khí nóng 72 giờ | Cảm biến độ bẩn | Rửa bán tải Half load",80,59,60,47,1760W - 2100W,49 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2023,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Hỗ trợ hòa tan viên tẩy rửa | Rửa bằng nước nóng,Sấy nhiệt Turbo,Rửa chuyên sâu | Rửa thường | Rửa tiết kiệm ECO | Tự làm sạch | Rửa tự động | Rửa nhanh,140,165,~ 14.1 lít/lần rửa,Thép không gỉ,Khay dưới | Khay trên,17190000,17190000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179705,3053859000125,320943,39,495,Hòa Phát,Thái Lan,Thép không gỉ,"Khoá trẻ em | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Cảnh báo mã lỗi hoạt động khác | Rửa đa vùng | Cảm biến độ bẩn",84,59,60,42,1760W - 2100W,47 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2023,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Hỗ trợ hòa tan viên tẩy rửa | Rửa bằng nước nóng,Sấy nhiệt dư | Turbo Fan - Quạt sấy khô chuyên dụng,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa thường | Rửa tiết kiệm ECO | Rửa 90 phút | Rửa tự động | Rửa nhanh,140,165,~ 10 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay trên,16390000,16390000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179704,3053859000126,320940,39,495,Hòa Phát,Thái Lan,Thép không gỉ,"Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Cảnh báo mã lỗi hoạt động khác | Động cơ Inverter BLDC | Sấy tăng cường Extra Drying | Hiển thị kép Dual Display | Rửa đa vùng | Tăng tốc độ rửa Turbo speed+",84,59,63,44,1760W - 2100W,40 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2023,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Hỗ trợ hòa tan viên tẩy rửa | Turbo Speed+ (giảm thời gian cho chương trình rửa) | Rửa bằng nước nóng,Sấy tăng cường,Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa ngâm | Rửa thường | Rửa tiết kiệm ECO | Rửa 90 phút | Rửa tự động | Rửa nhanh,140,165,~ 10 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,18290000,18290000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179622,3053859000099,314811,39,316,Nagakawa,Malaysia,Inox cao cấp tích hợp thép sơn chống gỉ đa lớp,"Khoá trẻ em | Đèn LED báo hết muối, hết nước làm bóng | Hẹn giờ bắt đầu rửa | Water Sensor - chống tràn nước | Cài đặt máy theo độ cứng của nước",84,60,59,51,1850W,46 dB,3 - 4 bữa ăn Việt (15 bộ Châu Âu),2021,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Rửa bằng nước nóng,NaFRESH 360,Vệ sinh máy | Rửa chuyên sâu | Rửa đồ thủy tinh | Rửa tiêu chuẩn (tiết kiệm) | Rửa thường | Rửa nhanh,155,152,~ 10 lít/lần rửa,Inox 304 phun sơn,Khay dao kéo | Khay dưới | Khay trên,,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179393,3053859000093,299899,39,133,Bosch,Đức,Inox + Nhựa cao cấp,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect,81,59,57,,2400W,42 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2022,Máy rửa chén bán âm,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Không có,EfficientDry | Extra Dry - Sấy tăng cường,,,,~ 9.5 lít/lần rửa,Inox,Khay dao kéo | Khay dưới | Khay trên,,,
179392,3053859000092,299898,39,133,Bosch,Ba Lan,Inox + Nhựa cao cấp,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect,81,59,57,,2400W,42 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2022,Máy rửa chén bán âm,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Không có,Heat Exchanger - Sấy trao đổi nhiệt | Extra Dry - Sấy tăng cường,,150,160,~ 9.5 lít/lần rửa,Inox,Khay dao kéo | Khay dưới | Khay trên,,,
179389,3053859000089,299893,39,133,Bosch,Ba Lan,Inox + Nhựa cao cấp,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect,84,60,60,,2400W,44 dB,3 - 4 bữa ăn Việt (13 bộ Châu Âu),2022,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị | Tiếng Anh,Không có,EfficientDry | Extra Dry - Sấy tăng cường,Rửa ngâm tráng qua nước lạnh | Rửa chuyên sâu | Rửa tiết kiệm ECO | Rửa yên tĩnh | Rửa tự động | Rửa nhanh,150,160,~ 9.5 lít/lần rửa,Inox,Khay dao kéo | Khay dưới | Khay trên,,,
