model_code,sku,productidweb,category_code,brand,Tiện ích,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Ngang,Dày,Khối lượng máy,Kết nối,Màn hình cảm ứng,Tấm nền,Thời gian đáp ứng,Độ phủ màu,Số lượng,Độ sáng,Độ tương phản tĩnh,Loa,Vesa,Điện năng tiêu thụ,Cao,Ngang module phụ,Cao không chân,Độ dày không chân,Loại màn hình,giá gốc,giá khuyến mãi,khuyến mãi quà
171703,3641273000397,333733,73,Msi,Gập màn hình lên xuống,Eye-Q Check | Eyesergo,27 inch,Full HD (1920 x 1080),611,206,3,1 x D-Sub (VGA) | 1 x Headphone-out | 1 x DisplayPort 1.2 | 1 x HDMI 2.0 | 1 x Line-in,Không cảm ứng,IPS,1 ms (MPRT),87% DCI-P3 | 116% sRGB | 83% Adobe RGB,16.7 triệu màu,300 cd/m2,1500:1,Có,Có,21W,447,611,355,40,Phẳng,2990000,2490000,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171876,3641273000437,337323,73,Msi,Gập màn hình lên xuống,HDR Ready | Chống chói Anti-Glare,27 inch,WQHD (2560 x 1440),614,207,4,1 x DisPlayport 1.2a | 1 x Headphone-out | 2 x HDMI 2.0b,Không cảm ứng,IPS,1 ms (MPRT),100% sRGB,1.07 tỷ màu,300 cd/m2,1300:1,Có,Có,26 W,456,614,361,55,Phẳng,,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171874,3641273000435,337314,73,Msi,Gập màn hình lên xuống,HDR Ready | AMD FreeSync Premium,24.5 inch,Full HD (1920 x 1080),557,220,5,1 x DisPlayport 1.2a | 1 x Headphone-out | 2 x HDMI 2.0b,Không cảm ứng,Rapid IPS,0.5 ms (GTG),79% DCI-P3 | 83% Adobe RGB | 100% sRGB,1.07 tỷ màu,300 cd/m2,1000:1,Không có,Có,18W,418,557,326,66,Phẳng,3190000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172088,3641273000462,341854,73,Msi,Điều chỉnh được độ nghiêng của màn hình,HDR Ready | Adaptive-Sync | Chống chói Anti-Glare,27 inch,Full HD (1920 x 1080),615,200,2,1 x Headphone-out | 1 x HDMI 1.4 | 1 x DisplayPort 1.2,Không cảm ứng,IPS,1 ms (MPRT),81% Adobe RGB | 109% sRGB | 83% DCI-P3,16.7 triệu màu,250 cd/m2,1300:1,Không có,Không có,36W,441,615,362,30,Phẳng,2590000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172087,3641273000461,341853,73,Msi,Thay đổi được chiều cao | Điều chỉnh được độ nghiêng của màn hình,DisplayHDR True Black 400 | Anti-Reflection | Adaptive-Sync,26.5 inch,WQHD (2560 x 1440),610,227,6,1 x Headphone-out | 1 x DisplayPort 1.4 | 2 x HDMI 2.1,Không cảm ứng,QD-OLED,0.03 ms (GTG),98% Adobe RGB | 138% sRGB | 99% DCI-P3,1.07 tỷ màu,250 cd/m2,1500000:1,Không có,Có,40W,532,610,358,54,Phẳng,16590000,14390000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172160,3641273000472,344717,73,Msi,Điều chỉnh được độ nghiêng của màn hình,HDR Ready | Chống ánh sáng xanh | AI Vision | Chống loá,27 inch,Full HD (1920 x 1080),611,249,4,1 x DisPlayport 1.2a | 1 x Jack tai nghe 3.5 mm | 2 x HDMI 2.0b,Không cảm ứng,Rapid VA,0.5 ms (GTG),85% DCI-P3 | 85% Adobe RGB | 111% sRGB,1.07 tỷ màu,300 cd/m2,4000:1,Không có,Có,Hãng không công bố,439,611,366,101,Cong,3990000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172177,3641273000474,349979,73,Msi,Điều chỉnh được độ nghiêng của màn hình,HDR Ready | AI Navigator | MSI Eyes Ergo | MSI Eye-Q Check,23.8 inch,Full HD (1920 x 1080),538,220,5,1 x DisPlayport 1.2a | 1 x Jack tai nghe 3.5 mm | 2 x HDMI 2.0b,Không cảm ứng,Rapid IPS,0.5 ms (GTG),112% sRGB | 85% Adobe RGB | 87% DCI-P3,1.07 tỷ màu,300 cd/m2,1000:1,Không có,Có,38W,411,538,318,56,Phẳng,3290000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172176,3641273000473,349978,73,Msi,Điều chỉnh được độ nghiêng của màn hình,AMD FreeSync | HDR Ready | Chống ánh sáng xanh | Chế độ HDR | Chống chói Anti-Glare,27 inch,Full HD (1920 x 1080),613,249,3,1 x DisPlayport 1.2a | 1 x Jack tai nghe 3.5 mm | 2 x HDMI 2.0b,Không cảm ứng,VA,0.5 ms (GTG),123.3% sRGB | 88.3% Adobe RGB | 92.2% DCI-P3,1.07 tỷ màu,300 cd/m2,1000:1,Không có,Có,100~240V,438,613,363,76,Cong,4390000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172278,3641273000488,358834,73,Msi,Màn hình di động | Có chân chống gập,HDR Ready | Adaptive-Sync | Chống chói Anti-Glare,15.6 inch,Full HD (1920 x 1080),356,13,0,1 x Headphone-out | 2 x USB Type-C | 1 x HDMI 2.0b,Không cảm ứng,IPS,4 ms (GTG),49.51% SRGB (CIE 1976),16.7 triệu màu,250 cd/m2,1000:1,Có,Không có,10 W,210,356,210,13,Phẳng,2790000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172256,3641273000482,358385,73,Msi,Điều chỉnh được màn hình quay trái - phải | Điều chỉnh được độ nghiêng của màn hình,HDR Ready | Adaptive-Sync | Chống chói Anti-Glare,27 inch,Full HD (1920 x 1080),610,249,6,1 x Headphone-out | 1 x DisplayPort 1.4a | 2 x HDMI 2.0b,Không cảm ứng,Rapid VA,0.5 ms (GTG),78% DCI-P3 | 80% Adobe RGB | 102% sRGB,1.07 tỷ màu,300 cd/m2,4000:1,Không có,Có,21 W,451,610,362,90,Cong,4390000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172243,3641273000479,358204,73,Msi,Điều chỉnh được độ nghiêng của màn hình,HDR Ready | Adaptive-Sync | Chống chói Anti-Glare,23.8 inch,Full HD (1920 x 1080),541,181,4,1 x D-Sub (VGA) | 1 x HDMI 2.0,Không cảm ứng,IPS,4 ms (GTG),81% Adobe RGB | 109% sRGB | 83% DCI-P3,16.7 triệu màu,250 cd/m2,1500:1,Không có,Có,36 W,397,541,322,43,Phẳng,2490000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172280,3641273000490,358836,73,Msi,Thay đổi được chiều cao | Điều chỉnh được độ nghiêng của màn hình,AI Crosshai | DisplayHDR True Black 500 | AI Vision | G-Sync Compatible | AMD FreeSync Premium Pro,26.5 inch,WQHD (2560 x 1440),610,242,11,1 x Headphone-out | 1 x DisplayPort 1.4a | 1x Type-C (hỗ trợ Displayport Alt và cấp nguồn lên đến 15W) | 2 x HDMI 2.1,Không cảm ứng,QD-OLED,0.03 ms (GTG),98% Adobe RGB | 138% sRGB | 99% DCI-P3,1.07 tỷ màu,300 cd/m2,1500000:1,Không có,Có,40W,532,610,356,69,Phẳng,20990000,18990000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172279,3641273000489,358835,73,Msi,Điều chỉnh được độ nghiêng của màn hình,AMD FreeSync | Eye-Q Check | HDR Ready | Anti-Flicker | Eyesergo | Chống chói Anti-Glare | Less Blue Light,27 inch,Full HD (1920 x 1080),613,201,6,1 x D-Sub (VGA) | 1 x HDMI 2.0,Không cảm ứng,IPS,4 ms (GTG),81% Adobe RGB | 102% sRGB | 83% DCI-P3,16.7 triệu màu,250 cd/m2,1500:1,Không có,Có,36 W,437,613,362,49,Phẳng,2890000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172411,3641273000503,362657,73,Msi,Điều chỉnh được độ nghiêng của màn hình,AMD FreeSync | Chống nháy | Chống ánh sáng xanh | AI Vision | Chế độ HDR,27 inch,Full HD (1920 x 1080),612,220,3,1 x DisPlayport 1.2a | HDMI 2.0 | 1 x Headphone-out,Không cảm ứng,IPS,1 ms (MPRT),85% DCI-P3 | 80% Adobe RGB | 111% sRGB,1.07 tỷ màu,300 cd/m2,1500:1,Không có,Có,Hãng không công bố,453,612,358,55,Phẳng,3040000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172263,3641273000487,358521,73,Msi,Điều chỉnh được độ nghiêng của màn hình,DisplayHDR True Black 400 | AI Vision | Anti-Reflection | Adaptive-Sync,27 inch,Full HD (1920 x 1080),612,249,6,1 x DisPlayport 1.2a | 2 x HDMI 2.0 | 1 x Headphone-out,Không cảm ứng,Rapid IPS,0.5 ms (GTG),122% sRGB | 89% Adobe RGB | 94% DCI-P3,1.07 tỷ màu,300 cd/m2,1000:1,Không có,Có,36,439,612,364,51,Phẳng,3990000,3690000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171859,3641273000432,337072,73,Viewsonic,Thay đổi được chiều cao | Xoay màn hình 90 độ | Gập màn hình lên xuống,Freesync | Lọc ánh sáng xanh,27 inch,QHD (2560 x 1440),614,213,6,2 x HDMI 2.0 | 1 x Jack tai nghe 3.5 mm | 1 x DisplayPort,Không cảm ứng,IPS,1 ms (MPRT),137% sRGB | 97% NTSC | 95% DCI-P3,16.7 triệu màu,300 cd/m2,1000:1,Không có,Có,39W,424.32 mm ~ 574.32 mm,614,365,47,Phẳng,5190000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172344,3641273000495,361203,73,Philips,Điều chỉnh được độ nghiêng của màn hình,Công nghệ chống nháy - Flicker-free | SmartContrast | Crystalclear images | Low input lag,24 inch,QHD (2560 x 1440),544,207,2,HDMI 2.0 | 1 x DisplayPort 1.4,Không cảm ứng,Fast IPS,0.5 ms (MPRT),103.36% NTSC | 92.05% DCI-P3 | 87.68% Adobe RGB | 113.37% sRGB,16.7 triệu màu,300 cd/m2,1500:1,Không có,Có,14.5 W,434,544,321,51,Phẳng,3290000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172345,3641273000496,361204,73,Philips,Điều chỉnh được độ nghiêng của màn hình,HDR10 | Công nghệ chống nháy - Flicker-free | SmartContrast | Crystalclear images | Low input lag,27 inch,QHD (2560 x 1440),616,207,3,HDMI 2.0 | 1 x DisplayPort 1.4,Không cảm ứng,Fast IPS,0.5 ms (MPRT),103.36% NTSC | 92.05% DCI-P3 | 87.68% Adobe RGB | 113.37% sRGB,16.7 triệu màu,300 cd/m2,1500:1,Không có,Có,19 W,468,616,362,59,Phẳng,3890000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172261,3641273000485,358519,73,Asus,Thay đổi được chiều cao | Xoay màn hình 90 độ | Điều chỉnh được màn hình quay trái - phải | Điều chỉnh được độ nghiêng của màn hình,Sai lệch màu Delta E< 2 | Công nghệ chống nháy - Flicker-free | DisplayWidget Center | HDCP 1.4 | ASUS Power Sync | Điều chỉnh Gamma | ProArt Preset | ProArt Palette | Tùy chỉnh nhiệt độ màu | Điều chỉnh màu RGB | QuickFit Plus | Chế độ HDR | Công nghệ Trace Free | Low Blue Light | Adaptive-Sync,24.1 inch,WUXGA (1920 x 1200),531,190,5,1 x DisplayPort 1.2 | 1 x Jack tai nghe 3.5 mm | 4 x USB 3.2 Gen 1 | 1 x HDMI 2.1,Không cảm ứng,IPS,5 ms (GTG),100% sRGB,16.7 triệu màu,350 cd/m2,1500:1,Có,Có,9.4W,531,531,350,39,Phẳng,5490000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172262,3641273000486,358520,73,Asus,Điều chỉnh được độ nghiêng của màn hình,GamePlus | ASUS Extreme Low Motion Blur | GameFast Input | DisplayWidget Center | HDCP 2.2 | Shadow Boost | Game Visual | Công nghệ Trace Free | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,27 inch,Full HD (1920 x 1080),615,213,4,2 x HDMI 2.0 | 1 x DisplayPort 1.2 | 1 x Jack tai nghe 3.5 mm,Không cảm ứng,Fast IPS,1 ms (GTG),100% sRGB,16.7 triệu màu,250 cd/m2,1000:1,Có,Có,21 W,428,615,364,38,Phẳng,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171843,3641273000430,336402,73,Asus,Gập màn hình lên xuống,GamePlus | ASUS Extreme Low Motion Blur | GameVisual | DisplayWidget Center | HDCP | Shadow Boost | ELMB Sync | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,23.8 inch,Full HD (1920 x 1080),541,174,3,1 x DisplayPort 1.2 | 1 x HDMI 2.0 | 1 x 3.5 mm mini-jack,Không cảm ứng,IPS,1 ms (MPRT),125% sRGB | 90% DCI-P3,16.7 triệu màu,300 cd/m2,1500:1,Có,Có,15W,394,541,323,58,Phẳng,2790000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171617,3641273000379,332008,73,Asus,Gập màn hình lên xuống,GamePlus | Công nghệ SPLENDID | GameFast Input | HDCP 1.4 | Shadow Boost | Motion Sync | Eye Care+ | QuickFit | Công nghệ Trace Free | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,27 inch,Full HD (1920 x 1080),612,202,4,1 x D-Sub (VGA) | 1 x HDMI 1.4 | 1 x Jack tai nghe 3.5 mm,Không cảm ứng,IPS,1 ms (MPRT),Hãng không công bố,16.7 triệu màu,250 cd/m2,1500:1,Không có,Có,21W,435,612,365,50,Phẳng,2990000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171866,3641273000434,337235,73,Asus,Gập màn hình lên xuống,GamePlus | ASUS Extreme Low Motion Blur | GameVisual | DisplayWidget Center | HDCP | Shadow Boost | ELMB Sync | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,27 inch,Full HD (1920 x 1080),615,193,4,1 x DisplayPort 1.2 | 1 x HDMI 2.0 | 1 x 3.5 mm mini-jack,Không cảm ứng,IPS,1 ms (MPRT),125% sRGB | 90% DCI-P3,16.7 triệu màu,300 cd/m2,1500:1,Có,Có,16.7W,453,615,369,60,Phẳng,3390000,3150000,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171603,3641273000365,331920,73,Asus,Gập màn hình lên xuống,GamePlus | Công nghệ chống nháy - Flicker-free | Công nghệ SPLENDID | GameFast Input | HDCP 1.4 | Shadow Boost | Motion Sync | Eye Care+ | QuickFit | Công nghệ Trace Free | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,23.8 inch,Full HD (1920 x 1080),541,185,3,1 x D-Sub (VGA) | 1 x HDMI 1.4 | 1 x Jack tai nghe 3.5 mm,Không cảm ứng,IPS,1 ms (MPRT),Hãng không công bố,16.7 triệu màu,250 cd/m2,1500:1,Không có,Có,15W,395,541,323,48,Phẳng,2490000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171927,3641273000447,339094,73,Asus,Gập màn hình lên xuống,GamePlus | ASUS Extreme Low Motion Blur | GameFast Input | GameVisual | DisplayWidget Center | Shadow Boost | HDCP 2.3 | Công nghệ Trace Free | Nhiệt độ màu (4 chế độ) | Low Blue Light | Adaptive-Sync,24.5 inch,Full HD (1920 x 1080),559,174,3,2 x HDMI 2.0 | 1 x DisplayPort 1.4 | 1 x Earphone Jack,Không cảm ứng,Fast IPS,1 ms (GTG),99% sRGB,16.7 triệu màu,300 cd/m2,1000:1,Có,Có,15W,401,559,329,62,Phẳng,3290000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
