model_code,sku,productidweb,category_code,brand,SIM,Thực hiện cuộc gọi,"Chuẩn chống nước, bụi",Dung lượng pin,Cổng sạc,Thời gian ra mắt,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Dài,Ngang,Dày,Khối lượng máy,Chip xử lý (CPU),Hệ điều hành,Kết nối,Chất liệu thân vỏ,Phụ kiện đi kèm,Wifi,Thẻ nhớ,Tốc độ CPU,RAM,Chip đồ họa (GPU),Bluetooth,"Cổng tai nghe, headphone",Tính năng đặc biệt,Ghi âm,Radio,Loại pin,Công nghệ pin,Hỗ trợ sạc tối đa,Dung lượng lưu trữ,Dung lượng khả dụng,Quay phim,Tính năng camera sau,Tính năng camera trước,Mạng di động,GPS,giá gốc,giá khuyến mãi,khuyến mãi quà
187402,7008360002215,60400,30,LG,Không có,,,,Micro USB,,,"8.3""",,,,,338,,,,,,,,1.7 GHz,2 GB,Adreno 320,,3.5 mm,,Có,Không,,,,16 GB,,FullHD 1080p@30fps,,,,,,,
187403,7008360002201,60400,30,LG,Không có,,,,Micro USB,,,"8.3""",,,,,338,,,,,,,,1.7 GHz,2 GB,Adreno 320,,3.5 mm,,Có,Không,,,,16 GB,,FullHD 1080p@30fps,,,,,,,
186950,7008360002015,55478,30,Ipad (Apple),,,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,64 GB,,,,,Hỗ trợ 4G,,,,
186949,7008360002001,55478,30,Ipad (Apple),,,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,64 GB,,,,,Hỗ trợ 4G,,,,
186952,7008360001915,55479,30,Ipad (Apple),,FaceTime,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,32 GB,,,,,,,,,
186951,7008360001901,55479,30,Ipad (Apple),,FaceTime,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,32 GB,,,,,,,,,
186922,7008360001815,54819,30,Ipad (Apple),,,,,,,,"9.7""",,,,,662,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,16 GB,,,,,Hỗ trợ 4G,,,,
186921,7008360001801,54819,30,Ipad (Apple),,,,,,,,"9.7""",,,,,662,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,16 GB,,,,,Hỗ trợ 4G,,,,
187028,7008360001515,56534,30,Ipad (Apple),Không có,,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,16 GB,,,,,,,,,
187027,7008360001501,56534,30,Ipad (Apple),Không có,,,,,,,"9.7""",,,,,652,Apple A5X 2 nhân,,,,,,,1 GHz,1 GB,IMG PowerVR SGX543MP4,,3.5 mm,,Không,Không,Li-Ion,,,16 GB,,,,,,,,,
186778,7008360000615,47394,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A4 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,64 GB,,HD 720p@24fps,,,Hỗ trợ 3G,,,,
186777,7008360000601,47394,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A4 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,64 GB,,HD 720p@24fps,,,Hỗ trợ 3G,,,,
186772,7008360000515,47385,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,32 GB,,HD 720p@24fps,,,Hỗ trợ 3G,,,,
186771,7008360000501,47385,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,32 GB,,HD 720p@24fps,,,Hỗ trợ 3G,,,,
186770,7008360000415,47384,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186769,7008360000401,47384,30,Ipad (Apple),,,,,,,LED,"9.7""",,,,,607,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186776,7008360000315,47392,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,64 GB,,HD 720p@24fps,,,Không có,,,,
186775,7008360000301,47392,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,64 GB,,HD 720p@24fps,,,Không có,,,,
186774,7008360000215,47389,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,,,,,,,,1 GHz,,Đang cập nhật,,Đang cập nhật,,Không,Đang cập nhật,,,,32 GB,,HD 720p@24fps,,,Không có,,,,
186773,7008360000201,47389,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,,,,,,,,1 GHz,,Đang cập nhật,,Đang cập nhật,,Không,Đang cập nhật,,,,32 GB,,HD 720p@24fps,,,Không có,,,,
186768,7008360000115,47382,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186767,7008360000101,47382,30,Ipad (Apple),Không có,,,,,,LED,"9.7""",,,,,601,Apple A5 2 nhân,,,,,,,1 GHz,,IMG PowerVR SGX543MP2,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186876,7008161000972,52301,30,Khác...,,,,,Micro USB,,PLS LCD,"7""",,,,,470,,,,,,,,1 GHz,1 GB,,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186877,7008161000911,52301,30,Khác...,,,,,Micro USB,,PLS LCD,"7""",,,,,470,,,,,,,,1 GHz,1 GB,,,3.5 mm,,Không,Không,,,,16 GB,,HD 720p@24fps,,,,,,,
186855,7008161000872,51025,30,Khác...,,,,,Micro USB,,PLS LCD,"7""",,,,,470,,,,,,,,1 GHz,1 GB,,,3.5 mm,,Không,Không,,,,8 GB,,HD 720p@24fps,,,,,,,
186856,7008161000811,51025,30,Khác...,,,,,Micro USB,,PLS LCD,"7""",,,,,470,,,,,,,,1 GHz,1 GB,,,3.5 mm,,Không,Không,,,,8 GB,,HD 720p@24fps,,,,,,,
187862,7008122712100,76976,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Đèn Flash | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,
187861,7008122712000,76976,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Đèn Flash | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,
187860,7008122711900,76976,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Đèn Flash | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,
187871,7008122711800,76978,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187870,7008122711700,76978,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187869,7008122711600,76978,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187868,7008122711500,76978,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 9,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,128 GB,112 GB,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187867,7008122711400,76977,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,
187866,7008122711300,76977,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,
187865,7008122711200,76977,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,
187864,7008122711100,76977,30,Ipad (Apple),1 Nano SIM,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,,Không,,,Dual-band | Wi-Fi hotspot | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Hỗ trợ 4G,A-GPS | GLONASS,,,
187856,7008122711000,75490,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 10,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187855,7008122710900,75490,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 10,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187854,7008122710800,75490,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 10,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187853,7008122710700,75490,30,Ipad (Apple),Không có,FaceTime,,27.5 Wh (~ 7350 mAh),Lightning,,,"9.7""",,,,,437 g,,iOS 10,Không,,,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,,2.16 GHz,2 GB,IMG PowerVR Series 7,EDR | v4.2 | A2DP,3.5 mm,Mở khóa bằng vân tay,Không,Không,,,,32 GB,Đang cập nhật,4K 2160p@30fps,Nhận diện khuôn mặt | Nhận diện nụ cười | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Chạm lấy nét,,Không có,A-GPS | GLONASS,,,"Phiếu mua hàng bàn phím iPad trị giá 500,000đ | Phiếu mua hàng Apple Pencil trị giá 400,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng 500.000đ mua Bao Da kèm Bàn Phím Logitech Combo Touch"
187848,7008122710600,75044,30,Lenovo,2 Micro SIM (SIM 2 chung khe thẻ nhớ),Có,,4250 mAh,Micro USB,,IPS LCD,"7""",,,,,250 g,Snapdragon 410 4 nhân,,Không,,,Wi-Fi 802.11 a/b/g/n/ac,,1.2 GHz,2 GB,Adreno 306,v4.0,3.5 mm,Chạm 2 lần mở màn hình | Âm thanh Dolby Audio | Thu nhỏ màn hình sử dụng một tay,Có,Có,Li-Ion,,,16 GB,10.1 GB,FullHD 1080p@30fps,Nhận diện khuôn mặt | HDR | Toàn cảnh (Panorama) | Tự động lấy nét (AF) | Đèn Flash | Gắn thẻ địa lý | Chạm lấy nét,,Hỗ trợ 3G,A-GPS,,,
