model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Chất liệu thân vỏ,Tiện ích,Cao,Khối lượng máy,Loại máy,Công suất đầu ra,Số lượng,Dòng sản phẩm,Chất liệu ruột,Thương hiệu của,Tính năng an toàn,Tùy chỉnh nhiệt độ,Áp lực nước hoạt động,Thời gian sử dụng,Nhiệt độ làm nóng tối đa,Loại tấm thu nhiệt,Thời gian giữ nhiệt,Dài ống,Chất liệu khung viền,Chất liệu vòi sen,Chất liệu giá đỡ vòi sen,Vòi sen,Rộng,Dài,Dày,Lớp cách nhiệt,Bơm trợ lực,Dung lượng dung tích,giá gốc,giá khuyến mãi,khuyến mãi quà
164715,3050911000545,297034,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Vòi sen tích hợp Ag+ kháng khuẩn",38,2,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.1 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Không có bơm trợ lực,Không có bình chứa,3790000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164699,3050911000539,292023,41,193,Kangaroo,Trung Quốc,,Đèn báo nước nóng sẵn sàng,33,14,Làm nóng gián tiếp,2500W,Không,2021,Tráng men kim cương nhân tạo,Việt Nam,Chống đun khô | Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Hệ thống an toàn đồng bộ CSS,3 mức Thấp - Trung bình - Cao,Tối đa 0.75 Mpa,Khoảng 60 phút,Khoảng 75°C,Không,Không,Không,Không,Không,Không,Không,71,Không,35,Lớp cách nhiệt mật độ cao PU giúp giữ nóng nước lâu,Không có bơm trợ lực,50 lít (khoảng 4 - 5 người sử dụng),3180000,3180000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164623,3050911000149,280921,41,351,Ariston,Trung Quốc,,Công nghệ Flexomix tăng lượng nước đầu vào,83,20,Làm nóng gián tiếp,2500W,Không,2017,Tráng men Titan,Italia,"Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX1 | Van xả áp an toàn | Rơ le ngắt quá nhiệt | Hệ thống chống giật, chống bỏng TSS",Chỉnh nhiệt độ vô cấp,Tối đa 0.8 Mpa,Khoảng 1 giờ 3 phút,Khoảng 65°C,Không,Không,Không,Không,Không,Không,Không,37,Không,35,null,Không có bơm trợ lực,50 lít (khoảng 4 - 5 người sử dụng),4690000,4690000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164525,3050911000487,251560,41,351,Ariston,Việt Nam,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Công nghệ Eco-Evo tiết kiệm 14% điện năng | Có màn hình hiển thị nhiệt độ | Hệ thống tạo Ion bạc kháng khuẩn làm sạch nước | Công nghệ Flexomix tăng lượng nước đầu vào | Đèn báo nước nóng sẵn sàng | Vi mạch chủ động kiểm soát an toàn 3D",33,15,Làm nóng gián tiếp,2500W,Không,2019,Tráng men Titan,Italia,"Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX1 | Hệ thống chống giật, chống bỏng TSS",Nhiều mức độ,Tối đa 0.75 Mpa,Khoảng 25 phút,Khoảng 80°C,Không,Không,Không,Không,Không,Không,Không,75,,34,Lớp cách nhiệt mật độ cao HDI giữ nóng lâu,Không có bơm trợ lực,30 lít (khoảng 3-5 người sử dụng),,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164524,3050911000486,251559,41,351,Ariston,Việt Nam,,Hệ thống điều chỉnh lưu lượng nước | Mạch điện PCB bảo vệ an toàn | Núm vặn điều chỉnh vô cấp | Tương thích điện từ EMC | Bơm trợ lực vận hành siêu êm | Vỏ bình nung làm từ vật liệu chống cháy,38,2,Làm nóng trực tiếp,4500W,Không,2020,Không,Italia,Cầu dao chống rò điện ELCB | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 20 kPa - Tối đa 380 kPa,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa mạ Chrome,Nhựa mạ crom,Có kèm theo vòi sen 5 chế độ phun,23,,7,Không,Có,Không có bình chứa,4590000,4590000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164514,3050911000481,249704,41,193,Kangaroo,Việt Nam,,,28,10,Làm nóng gián tiếp,2500W,Không,2021,Tráng men kim cương nhân tạo,Việt Nam,Chống giật kép | Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX4,Không có,Không,Không,Khoảng 75°C,Không,Không,không,Không,Không,Không,Không,61,Không,25,Lớp cách nhiệt mật độ cao PU giúp giữ nóng nước lâu,Không có bơm trợ lực,15 lít (khoảng 2 người sử dụng),2410000,2410000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164437,3050911000411,225331,41,7,Panasonic,Malaysia,,Van cấp nước có chức năng lọc | Tương thích điện từ EMC | Bơm trợ lực vận hành siêu êm,38,3,Làm nóng trực tiếp,4500W,Không,2018,Không,Nhật Bản,9 tính năng an toàn điện (xem chi tiết trong bài viết),3 mức Thấp - Trung bình - Cao,Tối thiểu 0.1 Bar - Tối đa 3.78 Bar,Nóng liền,Khoảng 51°C,Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 3 chế độ phun,20,,8,Không,Có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165060,1750911000098,338439,41,315,Electrolux,Malaysia,,Van cấp nước tích hợp 3 trong 1 | Vòi sen kháng khuẩn AntiBacPlus | Chế độ EcoShower cho biết lượng nước đã sử dụng,27,1,Làm nóng trực tiếp,4500W,Không,2025,Không,Thụy Điển,Cầu dao chống rò điện ELCB | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | 15 tính năng an toàn | Công nghệ SafeReady tự động kiểm tra độ an toàn của máy | Cầu dao tự ngắt cả dây nóng và nguội khi gặp sự cố | Đèn báo tiếp đất an toàn chống rò điện,Chỉnh nhiệt độ vô cấp,Min 0.1Bar - Max 6Bar,Nóng liền,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS cao cấp,Thép không gỉ,Có kèm theo vòi sen 1 chế độ phun,18,Không,10,Không,Không có bơm trợ lực,Không có bình chứa,2290000,2120000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164985,1750911000065,331342,41,357,Rossi,Việt Nam,,Có màn hình hiển thị nhiệt độ | Núm vặn điều chỉnh vô cấp | Tích hợp van xả cặn | Tương thích điện từ EMC | Đèn báo nước nóng sẵn sàng | Đèn báo đang đun nóng | Cảm ứng điều chỉnh 3 chế độ,32,2,Làm nóng trực tiếp,4500W,Không,2022,Không,Việt Nam,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Bộ ổn định nhiệt TBST | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước | Cảm biến chống cháy khô điện trở,Chỉnh nhiệt độ vô cấp,Tối thiểu 0.0049 Mpa - Tối đa 0.38 Mpa,Khoảng 20 - 25 giây,Khoảng 55°C,Không,Không,Không,Không,Nhựa mạ Chrome,Inox,Có kèm theo vòi sen 3 chế độ phun,21,Không,9,Không,Có,Không có bình chứa,3190000,1920000,"Tặng 1 CB Panasonic 30A. Trị giá: 50.000đ Giảm giá 50,000đ | Tặng 1 dây cấp nước hoặc Giảm giá 20,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164984,1750911000064,331341,41,357,Rossi,Việt Nam,,Có màn hình hiển thị nhiệt độ | Núm vặn điều chỉnh vô cấp | Tích hợp van xả cặn | Tương thích điện từ EMC | Đèn báo nước nóng sẵn sàng | Đèn báo đang đun nóng | Cảm ứng điều chỉnh 3 chế độ,32,2,Làm nóng trực tiếp,4500W,Không,2022,Không,Việt Nam,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Bộ ổn định nhiệt TBST | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước | Cảm biến chống cháy khô điện trở,Chỉnh nhiệt độ vô cấp,Tối thiểu 0.0049 Mpa - Tối đa 0.38 Mpa,Khoảng 20 - 25 giây,Khoảng 55°C,Không,Không,Không,Không,Nhựa mạ Chrome,Inox,Có kèm theo vòi sen 3 chế độ phun,21,,9,Không,Không có bơm trợ lực,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164983,1750911000063,331335,41,357,Rossi,Việt Nam,,Núm xoay điều chỉnh nhiệt độ | Thanh nhiệt bằng inox SUS 316 | Đèn báo nước nóng sẵn sàng | Đèn báo đang đun nóng,45,14,Làm nóng gián tiếp,2500W,Không,2022,Thép tráng men kim cương nhân tạo,Việt Nam,Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX1 | Bộ ổn định nhiệt TBST | Rơ le bảo vệ đa cấp,Chỉnh nhiệt độ vô cấp,Tối thiểu 0.2 Mpa - Tối đa 0.8 Mpa,Khoảng 40 phút,Khoảng 80°C,Không,Không,Không,Không,Không,Không,Không,43,Không,38,Không,Không có bơm trợ lực,30 lít (khoảng 3-5 người sử dụng),3200000,2240000,"Tặng vật tư 1 cặp dây cấp nước (có sẵn trong thùng) | Tặng 1 CB Panasonic 30A. Trị giá: 50.000đ Giảm giá 50,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164965,1750911000043,330586,41,193,Kangaroo,Việt Nam,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ",39,2,Làm nóng trực tiếp,4500W,Không,2024,Không,Việt Nam,Cầu dao chống rò điện ELCB | Chống bỏng tự ngắt nhiệt khi quá 55 độ C | Công nghệ bảo vệ an toàn kép | Vỏ chống thấm nước IPX2 | Cảm biến nhiệt độ chống đun khô,3 mức Thấp - Trung bình - Cao,Tối đa 0.6 Mpa,Khoảng 15 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 2 chế độ phun,21,Không,8,Không,Không có bơm trợ lực,Không có bình chứa,2490000,2360000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164964,1750911000042,330585,41,193,Kangaroo,Việt Nam,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ",39,2,Làm nóng trực tiếp,4500W,Không,2024,Không,Việt Nam,Cầu dao chống rò điện ELCB | Chống bỏng tự ngắt nhiệt khi quá 55 độ C | Công nghệ bảo vệ an toàn kép | Vỏ chống thấm nước IPX2 | Cảm biến nhiệt độ chống đun khô,3 mức Thấp - Trung bình - Cao,Tối đa 0.6 Mpa,Khoảng 15 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 2 chế độ phun,21,Không,8,Không,Có,Không có bình chứa,3190000,3090000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164963,1750911000041,330584,41,193,Kangaroo,Việt Nam,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Có màn hình hiển thị nhiệt độ | Ghi nhớ nhiệt độ ưa thích | Chế độ Relax",39,2,Làm nóng trực tiếp,4500W,Không,2024,Không,Việt Nam,Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX4 | Chống bỏng tự ngắt nhiệt khi quá 55 độ C | Công nghệ bảo vệ an toàn kép | Cảm biến theo nhiệt độ nước ổn định nước đầu ra | Cảm biến nhiệt độ chống đun khô,Nhiều mức độ,Tối đa 0.6 Mpa,Khoảng 15 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 5 chế độ phun,21,Không,8,Không,Không có bơm trợ lực,Không có bình chứa,4190000,3020000,"Tặng 1 CB Panasonic 30A. Trị giá: 50.000đ Giảm giá 50,000đ | Tặng 1 dây cấp nước hoặc Giảm giá 20,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164962,1750911000040,330583,41,193,Kangaroo,Việt Nam,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Có màn hình hiển thị nhiệt độ | Ghi nhớ nhiệt độ ưa thích | Chế độ Relax",39,2,Làm nóng trực tiếp,4500W,Không,2024,Không,Việt Nam,Cầu dao chống rò điện ELCB | Vỏ chống thấm nước IPX4 | Chống bỏng tự ngắt nhiệt khi quá 55 độ C | Công nghệ bảo vệ an toàn kép | Cảm biến theo nhiệt độ nước ổn định nước đầu ra | Cảm biến nhiệt độ chống đun khô,Nhiều mức độ,Tối đa 0.6 Mpa,Khoảng 15 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 5 chế độ phun,21,Không,8,Không,Có,Không có bình chứa,5090000,4720000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164961,1750911000047,330564,41,7,Panasonic,Malaysia,,Núm xoay điều chỉnh nhiệt độ | Van cấp nước có chức năng lọc | Vòi sen tích hợp Ag+ kháng khuẩn,38,2,Làm nóng trực tiếp,4500W,Không,2024,Không,Nhật Bản,9 tính năng an toàn điện (xem chi tiết trong bài viết) | Tương thích điện từ (EMC),3 mức Thấp - Trung bình - Cao,Tối thiểu 0.0049 Mpa - Tối đa 0.38 Mpa,Khoảng 12 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,19,Không,9,Không,Có,Không có bình chứa,4790000,4160000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164955,1750911000046,329951,41,7,Panasonic,Malaysia,,Núm xoay điều chỉnh nhiệt độ | Van cấp nước có chức năng lọc | Vòi sen tích hợp Ag+ kháng khuẩn,38,1,Làm nóng trực tiếp,4500W,Không,2024,Không,Nhật Bản,9 tính năng an toàn điện (xem chi tiết trong bài viết) | Tương thích điện từ (EMC),3 mức Thấp - Trung bình - Cao,Tối thiểu 0.0098 Mpa - Tối đa 0.38 Mpa,Khoảng 12 giây,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,19,Không,9,Không,Không có bơm trợ lực,Không có bình chứa,2890000,2760000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
