model_code,sku,productidweb,category_code,brand_id,brand,Công nghệ làm lạnh,Sản xuất tại,Điện năng tiêu thụ,Công nghệ tiết kiệm điện,Tiện ích,Khối lượng máy,Bảo hành bộ phận,Loại máy,Công suất đầu ra,Nhãn năng lượng,Dài ống đồng,Cao lắp đặt,Chất liệu dàn tản nhiệt,Độ ồn,Dòng điện vào,Kích thước ống đồng,Số lượng,Dài phụ kiện chính,Độ dày phụ kiện chính,Khối lượng phụ kiện chính,Cao phụ kiện phụ,Dài phụ kiện phụ,Độ dày phụ kiện phụ,Khối lượng phụ kiện phụ,Dòng điện hoạt động,"Chuẩn chống nước, bụi",Loại Inverter,Chế độ gió,Dòng sản phẩm,Phạm vi sử dụng,Loại Gas,Bảo hành động cơ,Cao phụ kiện chính,Cao phụ kiện chính 2,Dài phụ kiện chính 2,Độ dày phụ kiện chính 2,giá gốc,giá khuyến mãi,khuyến mãi quà
178428,3051098000948,167873,36,11,Toshiba,Hi Power,Thái Lan,1,Eco | Hybrid Inverter,"Hẹn giờ bật, tắt máy | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 4.57),Tối đa 15m,12m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,,,,Khoảng 7000 trang A4,79.8 cm,23,10,53,66,24,22,,Công nghệ chống bám bẩn Magic Coil | Bộ lọc chống nấm mốc | Bộ lọc Toshiba IAQ,Máy lạnh Inverter,Đảo gió lên xuống tự động,2018,Từ 15 - 20m² (từ 40 đến 60m³),R-32,Máy nén 2 năm,29.3 cm,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178447,3051098000978,178983,36,187,Aqua,Turbo,Thái Lan,0,,"Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chức năng hút ẩm | Chế độ ngủ đêm tránh buốt | Dàn nóng/lạnh BlueFin hạn chế ăn mòn | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,5 sao (Hiệu suất năng lượng 5.30),Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,,,,Khoảng 7000 trang A4,79 cm,20,9,54,79,28,27,,,Máy lạnh Inverter,Đảo gió lên xuống tự động,2017,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 1 năm,27.5 cm,,,,,,"1 đổi 1 trong 730 ngày nếu sản phẩm lỗi kỹ thuật (Liên hệ Hãng kiểm tra lỗi và đổi) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178479,3051098000975,185499,36,7,Panasonic,Có,Malaysia,0,Inverter,"Hẹn giờ bật, tắt máy | Chức năng hút ẩm | Hoạt động siêu êm Quiet | Thổi gió dễ chịu (cho trẻ em, người già) | Chế độ ngủ đêm tránh buốt | Tự khởi động lại khi có điện",,1 năm,Máy lạnh 2 chiều (có sưởi ấm),10.700 BTU,5 sao (Hiệu suất năng lượng 5.36),Tiêu chuẩn 7.5m - Tối thiểu 3m - Tối đa 15m,15m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,30/50 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,80 cm,19,8,54,87,32,25,,Nanoe-G lọc bụi mịn PM2.5,Máy lạnh Inverter,Đảo gió lên xuống tự động,2018,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 7 năm - Yêu cầu kích hoạt điện tử thành công,29 cm,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178480,3051098000976,185766,36,7,Panasonic,Có,Malaysia,1,Inverter,"Hẹn giờ bật, tắt máy | Chức năng hút ẩm | Hoạt động siêu êm Quiet | Thổi gió dễ chịu (cho trẻ em, người già) | Chế độ ngủ đêm tránh buốt | Tự khởi động lại khi có điện",,1 năm,Máy lạnh 2 chiều (có sưởi ấm),,5 sao (Hiệu suất năng lượng 5.05),Tiêu chuẩn 7.5m - Tối thiểu 3m - Tối đa 15m,15m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,32.5/50 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,80 cm,19,8,54,87,32,26,,Nanoe-G lọc bụi mịn PM2.5,Máy lạnh Inverter,Đảo gió lên xuống tự động,2018,Từ 15 - 20m² (từ 40 đến 60m³),R-32,Máy nén 7 năm - Yêu cầu kích hoạt điện tử thành công,29 cm,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178481,3051098000977,185767,36,7,Panasonic,Powerful,Malaysia,1,Inverter,"Hẹn giờ bật, tắt máy | Chức năng hút ẩm | Hoạt động siêu êm Quiet | Thổi gió dễ chịu (cho trẻ em, người già) | Chế độ ngủ đêm tránh buốt | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện",,1 năm,Máy lạnh 2 chiều (có sưởi ấm),,5 sao (Hiệu suất năng lượng 6.47),Tiêu chuẩn 7.5m - Tối thiểu 3m - Tối đa 15m,15m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,38/50 dB,Dàn lạnh,6/12,Khoảng 7000 trang A4,109,24,12,62,92,32,26,,Nanoe-G lọc bụi mịn PM2.5,Máy lạnh Inverter,Đảo gió lên xuống tự động,2018,Từ 20 - 30m² (từ 60 đến 80m³),R-32,Máy nén 7 năm - Yêu cầu kích hoạt điện tử thành công,30,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178520,3051098001011,198286,36,11,Toshiba,Hi Power,Thái Lan,0,Eco | Hybrid Inverter,Tự khởi động lại khi có điện | Chức năng tự làm sạch,,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 4.30),Tiêu chuẩn 5m - Tối thiểu 2m - Tối đa 15m,12m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,32/48 dB,Dàn nóng,6/10,Khoảng 7000 trang A4,73.5 cm,20,8,53,66,23,18,,Công nghệ chống bám bẩn Magic Coil | Bộ lọc Toshiba IAQ,Máy lạnh Inverter,Đảo gió lên xuống tự động,2019,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,25 cm,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178521,3051098001010,198288,36,11,Toshiba,Hi Power,Thái Lan,1,Eco | Hybrid Inverter,Tự khởi động lại khi có điện | Chức năng tự làm sạch,,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 4.67),Tiêu chuẩn 5m - Tối thiểu 2m - Tối đa 15m,12m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,36/48 dB,Dàn nóng,6/10,Khoảng 7000 trang A4,79,23,10,53,71,26,22,,Công nghệ chống bám bẩn Magic Coil | Bộ lọc chống nấm mốc | Bộ lọc Toshiba IAQ,Máy lạnh Inverter,Đảo gió lên xuống tự động,2019,Từ 15 - 20m² (từ 40 đến 60m³),R-32,Máy nén 2 năm,29,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178522,3051098001009,198290,36,11,Toshiba,Hi Power,Thái Lan,0,Nút Power Sel - Điều chỉnh 3 mức điện năng tiêu thụ | Hybrid Inverter,"Luồng gió góc rộng | Hẹn giờ bật, tắt máy | Hoạt động siêu êm Quiet | Chế độ vận hành khi ngủ | Chế độ ngủ đêm tránh buốt | Cài đặt nhanh các chế độ với 1 nút nhấn | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 4.97),Tiêu chuẩn 5m - Tối thiểu 2m - Tối đa 15m,12m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,33/48 dB,Dàn nóng,6/10,Khoảng 7000 trang A4,79.8 cm,23,9,53,66,23,18,,Công nghệ chống bám bẩn Magic Coil | Bộ lọc Toshiba IAQ,Máy lạnh Inverter,Đảo gió lên xuống tự động,2019,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,29.3 cm,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178525,3051098001016,198800,36,54,Tcl,Turbo,Indonesia,0,Không có | Eco,"Chế độ ngủ đêm Sleep cho người già, trẻ nhỏ | Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chức năng hút ẩm | Chế độ ngủ đêm tránh buốt | Chế độ chỉ sử dụng quạt Fan Only - chỉ làm mát, không làm lạnh | Tự khởi động lại khi có điện",,3 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,1 sao (Hiệu suất năng lượng 3.1),Tiêu chuẩn  5m - Tối thiểu 3m - Tối đa 15m,5m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,39/50 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,78,20,8,50,65,25,22,,Bộ lọc HD giúp lọc sạch không khí | Tạo ion lọc không khí,Máy lạnh không Inverter,Đảo gió lên xuống trái phải tự động,2019,Dưới 15m² (từ 30 đến 45m³),R-410A,Máy nén 5 năm,25,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178577,3051098001060,203518,36,6,Daikin,Powerful,Việt Nam,~ 1.59,Econo,"Hẹn giờ bật, tắt máy | Chức năng hút ẩm | Thổi gió dễ chịu (cho trẻ em, người già)",,1 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 4.45),Tối đa 30m,20 m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,29-44/51 dB,Dàn nóng,6/12,Khoảng 7000 trang A4,77 cm,22,8,59,93,32,36,,Tấm vi lọc bụi,Máy lạnh Inverter,Đảo gió lên xuống tự động,2018,Từ 20 - 30m² (từ 60 đến 80m³),R-32,Máy nén 5 năm,28,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178587,3051098001061,203973,36,331,Gree,Turbo,Trung Quốc,2,G10 Inverter,"Chế độ gió 3D, kết hợp cánh đảo gió rộng | Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chức năng hút ẩm | Hoạt động siêu êm Quiet | Chế độ ngủ đêm tránh buốt | Chức năng tự làm sạch",,3 năm,Máy lạnh 2 chiều (có sưởi ấm),,Không có,Tối đa 25m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,40/58 dB,Dàn lạnh,6/16,Khoảng 7000 trang A4,,46,46,79,101,40,63,,Cold Plasma bảo vệ sức khỏe,Máy lạnh Inverter,Đảo gió lên xuống trái phải tự động,2019,Từ 30 - 40m² (từ 80 đến 120m³),R-410A,Máy nén 10 năm,184,,,,,,
178654,3051098001065,214817,36,9,Comfee,Turbo,Việt Nam,0,Không có,"Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chức năng hút ẩm | Chế độ ngủ đêm tránh buốt | Công nghệ tản nhiệt mạ vàng | Remote có đèn nền | Follow me - chức năng cài đặt nhiệt độ tại vị trí remote | Chức năng tự làm sạch",,3 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,3 sao (Hiệu suất năng lượng 3.60),Tiêu chuẩn  5m - Tối thiểu 3m - Tối đa 20m,8m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm mạ Vàng,32.5/51.5 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,79,19,8,43,74,26,24,,Lưới lọc bụi HD,Máy lạnh không Inverter,Đảo gió lên xuống tự động,2019,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 5 năm,28,,,,,,"Cơ hội trúng 30 iPhone 17 Pro 256G Xem chi tiết | 1 đổi 1 trong 1 năm nếu sản phẩm lỗi kỹ thuật (Liên hệ Hãng kiểm tra lỗi và đổi) (Xem chi tiết tại đây) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178682,3051098001123,217762,36,11,Toshiba,Hi Power,Thái Lan,0,Nút Power Sel - Điều chỉnh 3 mức điện năng tiêu thụ | Hybrid Inverter,"Luồng gió góc rộng | Hẹn giờ bật, tắt máy | Hoạt động siêu êm Quiet | Chế độ vận hành khi ngủ | Chế độ ngủ đêm tránh buốt | Cài đặt nhanh các chế độ với 1 nút nhấn | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,5 sao (Hiệu suất năng lượng 4.97),Tiêu chuẩn 5m - Tối thiểu 2m - Tối đa 15m,12m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,33 / 48 dB,Dàn nóng,6/10,Khoảng 7000 trang A4,79,23,9,53,66,23,18,,Công nghệ chống bám bẩn Magic Coil | Bộ lọc Toshiba IAQ,Máy lạnh Inverter,Đảo gió lên xuống tự động,2020,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,29,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178728,3051098001176,221930,36,315,Electrolux,Turbo,Thái Lan,0,Inverter,"Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chế độ điều chỉnh nhiệt độ chính xác iFeel | Thổi gió dễ chịu (cho trẻ em, người già) | Chế độ ngủ đêm tránh buốt | Remote có đèn nền | Ghi nhớ chế độ làm lạnh ưa thích | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,5 sao (Hiệu suất năng lượng 4.27),Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,36 / 51 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,75,20,8,50,73,26,21,,Lưới lọc bụi HD,Máy lạnh Inverter,"Đảo gió lên xuống tự động, trái phải tùy chỉnh tay",2020,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,28,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178732,3051098001148,222266,36,186,Midea,Turbo,Việt Nam,0,Không có,"Ống thoát nước 2 chiều tiện lợi trong lắp đặt | Follow me - Cảm biến nhiệt độ trên remote | Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chế độ ngủ đêm tránh buốt | Remote có đèn nền | Cảnh báo rò rỉ gas | Chức năng tự làm sạch",,3 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,2 sao (Hiệu suất năng lượng 3.51),Tối đa 20m,8m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm được phủ lớp Golden Fin,34 / 51.5 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,80,19,8,43,74,26,24,1 pha,Bộ lọc bụi 2 lớp HD,Máy lạnh không Inverter,"Đảo gió lên xuống tự động, trái phải tùy chỉnh tay",2020,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 5 năm,28,,,,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
178733,3051098001179,222552,36,9,Comfee,Turbo,Việt Nam/ Trung Quốc,0,Inverter | Eco,"Follow me - Cảm biến nhiệt độ trên remote | Hẹn giờ bật, tắt máy | Chức năng hút ẩm | Chế độ ngủ đêm tránh buốt | Công nghệ tản nhiệt mạ vàng | Remote có đèn nền | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,5 sao (Hiệu suất năng lượng 4.50 ),Tối đa 25m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm mạ Vàng,34 / 51.5 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,71,20,7,49,79,27,21,,Bộ lọc 2 lớp HD,Máy lạnh Inverter,Đảo gió lên xuống tự động,2020,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,28,,,,,,"Cơ hội trúng 30 iPhone 17 Pro 256G Xem chi tiết | 1 đổi 1 trong 1 năm nếu sản phẩm lỗi kỹ thuật (Liên hệ Hãng kiểm tra lỗi và đổi) (Xem chi tiết tại đây) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
